zipcode,circle-rating--small,scale,name,student_count
92083,4.0,Below average,Hannalei Elementary School,556
92084,4.0,Below average,Foothill Oak Elementary School,584
92083,4.0,Below average,North County Trade Tech High School,148
92083,4.0,Below average,Bella Mente Montessori Academy,662
92084,4.0,Below average,Beaumont Elementary School,560
92084,4.0,Below average,Monte Vista Elementary School,510
92084,4.0,Below average,Vista High School,2360
92083,3.0,Below average,Maryland Elementary School,644
92084,3.0,Below average,Vista Visions Academy,47
92083,3.0,Below average,Bobier Elementary School,659
92084,3.0,Below average,Rancho Minerva Middle School,717
92083,3.0,Below average,Vista Academy Of Visual And Performing Arts,611
92083,2.0,Below average,Major General Raymond Murray High School,178
92084,1.0,Below average,Alta Vista High (Continuation) School,113
